headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
database,noun,B2,,,
date,noun,A1,,,Personal identification
date,verb,B1,,,
dated,adjective,B2,,,
dating,noun,B1,,,
daughter,noun,A1,Family life,,Personal identification
daughter-in-law,noun,B2,,,darling
dawn,noun,B2,,,
day,noun,A1,,,
daylight,noun,A2,,,
daytime,noun,B2,,,
daze,noun,B1,Collocation,,
dazzle,noun,B1,,,
de facto,adjective,B2,,,
dead,adjective,A2,,,
deadline,noun,B1,Education,,
deadly,adjective,B1,,,
deaf,adjective,B1,,,
deal,noun,A2,Collocation,,Language
deal,verb,B1,,,
dealer,noun,B1,Work and Jobs,,Personal identification
dear,adjective,A1,,,
dear,noun,B2,,,
dearly,adverb,B2,,,
death,noun,A2,,,
debate,noun,A2,Education,,Education
debit,noun,B2,,,Shopping
debit,verb,B2,,,
debit card,noun,B2,,,Shopping
debris,noun,B1,,,
debt,noun,B1,Travel and services vocab,Shopping,Shopping
decade,noun,B2,,,
decay,verb,B2,,,
deceive,verb,B2,,,
December,noun,A1,,,
decent,adjective,B2,,,
deceptive,adjective,B2,,,
decide,verb,A2,,,
decision,noun,B1,,,
decisive,adjective,B2,,,
deck,noun,B2,,,Travel
declaration,noun,B1,Education,"News, lifestyles and current affairs",
declare,verb,B1,,,
decline,noun,B1,,,
decline,verb,B2,,,
decomposition,noun,B2,Education,,
decorate,verb,B2,,,
decoration,noun,B2,,,
decorative,adjective,B2,,,
decrease,noun,B1,,,
decrease,verb,B1,,,
dedicate,verb,B1,,,
dedication,noun,B2,,,
deduce,verb,B2,,,
deduction,noun,B2,Education,,
deed,noun,B1,Collocation,,
deem,verb,B2,,,
deep,adjective,B2,,,
deep,adverb,A2,,,
deeply,adverb,A2,,,
deer,noun,B2,,,
defeat,noun,B2,,,
defeat,verb,B1,,,
defend,verb,B1,,,
defender,noun,B1,,,
defense/defence,noun,B1,,,
deficiency,noun,B1,,,
deficit,noun,B2,,,
define,verb,B1,,,
definite,adjective,B1,,,
definite article,noun,B1,,,
definitely,adverb,B1,,,
definition,noun,B1,Education,,
deforestation,noun,B2,"News, lifestyles and current affairs",,
defy,verb,B2,,,
degree,noun,A2,,,
dehumanize/dehumanise,verb,B2,,,
delay,noun,A2,Travel and services vocab,,
delay,verb,B1,,,
delegate,noun,B2,,,
delete,verb,B1,,,
deliberate,adjective,B2,,,
deliberately,adverb,B2,,,
delicacy,noun,B2,,,
delicate,adjective,B1,,,
delicately,adverb,B2,,,
delicious,adjective,A1,,,
delight,noun,B1,,,
delight,verb,B2,,,
delighted,adjective,B1,,,
delightful,adjective,B1,,,
deliver,verb,B1,,,
delivery,noun,B1,Travel and services vocab,,Services
demand,noun,B1,,,
demand,verb,B1,,,
demanding,adjective,B2,,,
democracy,noun,B1,"News, lifestyles and current affairs",,
democratic,adjective,B1,,,
demolish,verb,B2,,,
demonstrate,verb,B1,,,
demonstration,noun,B1,,,
denim,noun,B2,,,Shopping
dense,adjective,B2,,,
densely,adverb,B2,,,
dental,adjective,B2,,,
dentist,noun,A2,,,Personal identification
deny,verb,B1,,,
depart,verb,B1,,,
department,noun,B1,Work and Jobs,,Services
department store,noun,A2,,,Shopping
departure,noun,B1,Travel and services vocab,,
depend,verb,A2,,,
dependable,adjective,B2,,,
dependent,adjective,B1,,,
deposit,noun,B1,,,
deposit,verb,B2,,,
depressed,adjective,B1,,,
depressing,adjective,B1,,,
depression,noun,B1,,,
deprive,verb,B1,,,
depth,noun,B1,Dimensions,,
deputy,noun,B2,,,
derive,verb,B1,,,
descend,verb,B2,,,
describe,verb,A1,,,
description,noun,A2,,,
descriptive,adjective,B2,,,
desert,noun,A2,,,"House and home, environment"
deserve,verb,B1,,,
design,noun,A1,Arts,,"Free time, entertainment"
design,verb,B1,,,
designer,adjective,B2,,,
designer,noun,B1,Work and Jobs,,Personal identification
desirable,adjective,B2,,,
desire,noun,B1,,,
desire,verb,B2,,,
desk,noun,A1,Objects and rooms,,"House and home, environment"
desktop,noun,B2,,,
desolation,noun,B2,,,
despair,noun,B1,,,
desperate,adjective,B1,,,
desperately,adverb,B2,,,
desperation,noun,B2,,,
despise,verb,B2,,,
despite,preposition,B1,,,
dessert,noun,A2,,,"House and home, environment"
destination,noun,B1,Travel and services vocab,,
destiny,noun,B2,,,
destroy,verb,A2,,,
destruction,noun,B1,,,
destructive,adjective,B1,,,
detach,verb,B2,,,
detachment,noun,B2,,,
detail,noun,A2,,,
detailed,adjective,B2,,,
detect,verb,B2,,,
detective,noun,B1,Work and Jobs,,Personal identification
determination,noun,B1,,,
determine,verb,B1,,,
determined,adjective,B2,,,
determiner,noun,B2,,,Language
devastate,verb,B1,,,
devastating,adjective,B1,,,
develop,verb,A2,,,
developed,adjective,A2,,,
developing,adjective,B2,,,
development,noun,B1,Education,,
device,noun,B1,Objects and rooms,,
devil,noun,B2,,,
devote,verb,B2,,,
devoted,adjective,B2,,,
devotion,noun,B1,,,
diagram,noun,B1,,,
dial,noun,B1,,,
dial,verb,B1,,,
dialog/dialogue,noun,B1,,,
diameter,noun,B1,Education,,
diamond,noun,A2,Objects and rooms,,Shopping
diaper,noun,B1,,,
diarrhea/diarrhoea,noun,B2,Travel and services vocab,,Health and body care
diary,noun,A2,Objects and rooms,,Shopping
dictator,noun,B2,Education,,Personal identification
dictionary,noun,A1,Objects and rooms,,Education
did,do-verb,A1,,,
die,verb,A2,,,
diet,noun,A2,Food and drink,,Food and drink
differ,verb,B1,,,
difference,noun,A1,,,
different,adjective,A1,,,
differently,adverb,A2,,,
difficult,adjective,A1,,,
difficulty,noun,A2,,,
dig,noun,A1,,,
dig,verb,B1,,,
digest,noun,B2,,,
digital,adjective,B1,,,
digital camera,noun,A2,,,"Free time, entertainment"
dignify,verb,B2,,,
dignity,noun,B2,,,
dilemma,noun,B2,,,
diligence,noun,B1,,,
diligent,adjective,B1,,,
dim,adjective,B2,,,
dime,noun,B2,,,
dimension,noun,B2,,,
dining room,noun,A1,Objects and rooms,,"House and home, environment"
dinner,noun,A1,Food and drink,,Food and drink
dinosaur,noun,A2,,,
dioxide,noun,B1,Education,,
dip,verb,B2,,,
diphtheria,noun,B2,Travel and services vocab,,Health and body care
diploma,noun,B2,Education,,Education
diplomat,noun,B2,,,
direct,adjective,A2,,,
direct,verb,B1,,,
direction,noun,A2,,,
directly,adverb,B1,,,
director,noun,A2,Work and Jobs,,Personal identification
dirt,noun,B1,,,Daily life
dirty,adjective,A1,,,
disability,noun,B1,,,
disable,verb,B1,,,
disabled,adjective,B1,,,
disadvantage,noun,A2,,,
disagree,verb,A2,,,
disagreement,noun,B1,,,
disappear,verb,A2,,,
disappearance,noun,B2,,,
disappoint,verb,B1,,,
disappointed,adjective,A2,,,
disappointing,adjective,A2,,,
disappointment,noun,B1,,,
disapproval,noun,B2,,,
disapprove,verb,B2,,,
disaster,noun,B1,"News, lifestyles and current affairs",,
disastrous,adjective,B1,,,
disc jockey/disk jockey,noun,B1,Work and Jobs,,Personal identification
discharge,noun,B2,,,
disciple,noun,B2,Books and literature,,
discipline,noun,B2,,,
disco,noun,A2,,,"Free time, entertainment"
discomfort,noun,B1,,,
disconnect,verb,B2,,,
discount,noun,B1,Shopping,,Shopping
discourage,verb,B1,,,
discover,verb,A2,,,
discovery,noun,B1,Education,,
discredit,verb,B2,,,
discriminate,verb,B2,,,
discrimination,noun,B1,"News, lifestyles and current affairs",,
discuss,verb,A1,,,
discussion,noun,A2,,,
disease,noun,B1,Travel and services vocab,,Health and body care
disgrace,noun,B2,,,
disguise,noun,B2,,,
disguise,verb,B2,,,
disgusting,adjective,B1,,,
dish,noun,A1,Objects and rooms,,Shopping
dishonest,adjective,A2,,,
dishonesty,noun,B2,,,
dishwasher,noun,B1,Objects and rooms,,"House and home, environment"
disillusion,verb,B2,,,
disk/disc,noun,B1,Media,,"Free time, entertainment"
dislike,noun,A2,Personal information,,Personal identification
dislike,verb,B1,,,
dismiss,verb,B2,,,
disorder,noun,B2,,,
disorderly,adjective,B2,,,
disorganized/disorganised,adjective,B2,,,
dispensable,adjective,B2,,,
displace,verb,B2,,,
display,noun,A2,Shopping,,
display,verb,B1,,,
displeasure,noun,B2,,,
disposal,noun,B2,,,
disposition,noun,B2,,,
dispute,noun,B2,,,
disqualify,verb,B2,,,
disregard,noun,B2,,,
disrupt,verb,B2,,,
dissatisfaction,noun,B2,,,
dissatisfied,adjective,B2,,,
dissident,noun,B2,,,
dissolve,verb,B1,,,
distance,noun,B1,,,Travel
distant,adjective,B1,,,
distinction,noun,B1,,,
distinctly,adverb,B1,,,
distinguish,verb,B1,,,
distinguished,adjective,B2,,,
distortion,noun,B2,,,
distract,verb,B2,,,
distraction,noun,B2,,,
distressing,adjective,B2,,,
distribute,verb,B1,,,
distribution,noun,B1,,,
distributor,noun,B2,Work and Jobs,,Personal identification
district,noun,B1,Nationalities and countries,,"House and home, environment"
disturb,verb,A2,,,
disturbance,noun,B1,,,
dive,noun,B1,,,
dive,verb,B1,,,
diver,noun,B1,Leisure activities,,"Free time, entertainment"
diverse,adjective,B1,,,
diversion,noun,B2,,,
divert,verb,B2,,,
divide,noun,B1,,,
divide,verb,A2,,,
divided,adjective,B2,,,
divine,adjective,B1,,,
diving,noun,B1,Leisure activities,,"Free time, entertainment"
division,noun,B2,,,
divorce,noun,B2,Family life,,Relations with other people
divorce,verb,B2,,,
divorced,adjective,B1,,,
dizzy,adjective,A2,,,
DJ,noun,B1,Work and Jobs,,Personal identification
DNA,noun,B2,Education,,
do,do-verb,A1,,,
doc,noun,B1,Idiomatic expressions,Work and Jobs,
dock,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
doctor/Dr./Dr,noun,A1,Work and Jobs,,Personal identification
document,noun,B1,Education,,
documentary,noun,B1,Hobbies and pastimes,Media,"Free time, entertainment"
does,do-verb,A1,,,
dog,noun,A1,,,
doing,do-verb,A1,,,
doll,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
dollar,noun,A1,Shopping,,Shopping
dolphin,noun,B1,,,
domestic,adjective,B2,,,
dominate,verb,B2,,,
donate,verb,B2,,,
donation,noun,B2,,,
done,do-verb,A2,,,
donkey,noun,B2,,,
doom,noun,B2,,,
door,noun,A1,Objects and rooms,,"House and home, environment"
doorkeeper,noun,B2,Work and Jobs,,Personal identification
doorway,noun,B2,Objects and rooms,,"House and home, environment"
dorm,noun,B2,"Things in the town, shops and shopping",Idiomatic expressions,"House and home, environment"
dormitory,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
dose,noun,B2,,,
dot,noun,B1,,,
double,adjective,A2,,,
double,noun,B2,,,
double,verb,B2,,,
doubly,adverb,B2,,,
doubt,noun,A2,,,
doubt,verb,B2,,,
doubtful,adjective,B2,,,
dove,noun,B2,,,
down,adjective,B2,,,
down,adverb,A1,,,
down,preposition,A2,,,
downfall,noun,B2,,,
download,noun,B2,Technical and legal language,,
download,verb,A2,,,
downsize,verb,B2,,,
downstairs,adjective,B1,,,
downstairs,adverb,A2,,,
downtown,adverb,A2,,,
downward,adjective,B1,,,
dowry,noun,B2,,,
doze,noun,B1,,,
dozen,determiner,B1,,,
dozen,noun,B1,,,
draft/draught,noun,B2,,,
drag,verb,B1,,,
drain,noun,B2,,,
drain,verb,B2,,,
drama,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
dramatic,adjective,B1,,,
dramatically,adverb,B2,,,
drapery,noun,B2,Clothes,,Shopping
draw,noun,A2,,,
draw,verb,A1,,,
drawer,noun,A2,,,"House and home, environment"
drawing,noun,A2,,,"Free time, entertainment"
dread,verb,B2,,,
dreadful,adjective,B2,,,
dream,noun,A1,,,
dream,verb,A2,,,
dreamy,adjective,B2,,,
dress,noun,A1,Clothes,,Shopping
dress,verb,A2,,,
dressed,adjective,A2,,,
drill,noun,A2,Objects and rooms,,Education
drink,noun,A1,Food and drink,,Food and drink
drink,verb,A1,,,
drinkable,adjective,B2,,,
drive,noun,A1,Hobbies and pastimes,,Travel
drive,verb,A2,,,
driver,noun,A1,Hobbies and pastimes,Work and Jobs,Personal identification
driver's license/driving licence,noun,A2,,,Travel
droop,noun,B2,,,
drop,noun,A2,,,
drop,verb,A1,,,
dropout,noun,B2,,,
drought,noun,B2,"News, lifestyles and current affairs",,
drown,verb,B1,,,
drug,noun,A2,Travel and services vocab,,Shopping
drugstore,noun,A2,"Things in the town, shops and shopping",,Shopping
drum,noun,A1,Leisure activities,,"Free time, entertainment"
drunk,adjective,B1,,,
dry,adjective,A1,,,
dry,verb,A2,,,
duck,noun,A2,,,
dude,noun,B1,,,
due,adjective,A1,,,
duel,noun,B2,,,
dull,adjective,B1,,,
dumb,adjective,B2,,,
dump,noun,B1,"Things in the town, shops and shopping",,
dump,verb,B1,,,
duplicate,noun,B2,,,
duplication,noun,B2,,,
during,preposition,A2,,,
dust,noun,A2,Objects and rooms,,
dustbin,noun,B1,Objects and rooms,,"House and home, environment"
dusty,adjective,B1,,,
duty,noun,B1,,,
duty-free,adjective,B1,,,
duvet,noun,B1,Objects and rooms,,"House and home, environment"
DVD,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
dwarf,noun,B2,Books and literature,,Personal identification
dye,noun,B2,,,
dynamic,adjective,B2,,,
dynasty,noun,B1,Nationalities and countries,,
each,determiner,A1,,,
each,pronoun,A1,,,
each other,pronoun,A1,,,
eager,adjective,B1,,,
eagerly,adverb,B2,,,
eagerness,noun,B1,,,
eagle,noun,B2,,,
ear,noun,A1,,,Health and body care
earache,noun,B1,,,
early,adjective,A2,,,
early,adverb,A1,,,
earn,verb,A2,,,
earnest,adjective,B1,,,
earnings,noun,B2,,,Shopping
earring,noun,A2,,,Shopping
earth,noun,A2,Nationalities and countries,,Places
earthquake,noun,A2,"News, lifestyles and current affairs",,Weather
ease,noun,B2,,,
ease,verb,B2,,,
easily,adverb,A2,,,
east,adjective,A2,,,
east,adverb,A2,,,
east,noun,A2,,,
eastern,adjective,B1,,,
eastward,adverb,B2,,,
easy,adjective,A1,,,
easygoing/easy-going,adjective,B1,,,
eat,verb,A1,,,
eco,noun,B1,,,
ecological,adjective,B1,,,
ecologically,adverb,B2,,,
ecologist,noun,B2,,,
ecology,noun,B1,Education,,
economic,adjective,B1,,,
economical,adjective,B2,,,
economics,noun,B1,,,
economist,noun,B2,,,Personal identification
economy,noun,B1,Work and Jobs,,Daily life
ecosystem,noun,B1,Education,,
ecstasy,noun,B1,,,
ecstatic,adjective,B2,,,
edge,noun,B1,Objects and rooms,,
edit,noun,B2,,,
edit,verb,B2,,,
edition,noun,B1,Books and literature,,
editor,noun,A2,Work and Jobs,,Personal identification
editorial,noun,B2,Media,,Personal identification
educate,verb,B1,,,
educated,adjective,B2,,,
education,noun,A2,Education,,Education
educational,adjective,A2,,,
educator,noun,B2,Work and Jobs,Education,Personal identification
effect,noun,A2,,,
effective,adjective,B1,,,
effectively,adverb,B2,,,
effectiveness,noun,B2,,,
efficiency,noun,B1,Work and Jobs,,
efficient,adjective,B1,,,
effort,noun,A2,,,
egg,noun,A1,Food and drink,,Food and drink
eight,number,A1,,,
eighteen,number,A1,,,
eighty,number,A1,,,
either,adverb,A1,,,
either,conjunction,A2,,,
either,determiner,B1,,,
either,pronoun,B1,,,
elbow,noun,B1,,,
elderly,adjective,A2,,,
elect,verb,B2,,,
election,noun,B1,"News, lifestyles and current affairs",,Relations with other people
elective,adjective,B2,,,
electric,adjective,A2,,,
electrical,adjective,B1,,,
electrician,noun,B2,,,Personal identification
electricity,noun,B1,Travel and services vocab,,Services
electron,noun,B1,Technical and legal language,Education,
electronic,adjective,B1,,,
electronically,adverb,B2,,,
electronics,noun,B2,,,
elegance,noun,B2,,,
elegant,adjective,B2,,,
elegantly,adverb,B2,,,
element,noun,B1,,,
elemental,adjective,B2,,,
elementary,adjective,A1,,,
elephant,noun,A2,,,
elevator,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
eleven,number,A1,,,
eligible,adjective,B2,,,
eliminate,verb,B1,,,
elite,noun,B2,,,
eloquence,noun,B2,,,
eloquent,adjective,B2,,,
else,adverb,A1,,,
elsewhere,adverb,A2,,,
email,verb,A2,,,
email/e-mail/E-mail,noun,A1,Media,,Services
embarrass,verb,B1,,,
embarrassed,adjective,B1,,,
embarrassing,adjective,A2,,,
embarrassment,noun,B1,,,
embassy,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
embrace,noun,B2,,,
emerge,verb,B1,,,
emergence,noun,B2,,,
emergency,noun,A2,"News, lifestyles and current affairs",,
emotion,noun,B1,,,
emotional,adjective,B1,,,
emotionally,adverb,B1,,,
emperor,noun,B1,Nationalities and countries,,Relations with other people
emphasis,noun,B1,,,
emphasize/emphasize,verb,B1,,,
emphatically,adverb,B2,,,
empire,noun,B1,Nationalities and countries,,Places
employ,verb,B2,,,
employee,noun,B2,Work and Jobs,,Personal identification
employer,noun,B2,Work and Jobs,,Personal identification
employment,noun,B1,Work and Jobs,,Personal identification
empty,adjective,A2,,,
enable,verb,B1,,,
enclose,verb,B1,,,
encounter,noun,B1,,,
encounter,verb,B2,,,
encourage,verb,A2,,,
encouragement,noun,B1,,,
encouraging,adjective,B1,,,
encyclopedia/encyclopaedia,noun,B1,Books and literature,,
end,noun,A1,,,
end,verb,A2,,,
endanger,verb,B1,,,
endangered,adjective,A2,,,
endeavor/endeavour,noun,B2,,,
ending,noun,A2,,,
endless,adjective,B1,,,
endlessly,adverb,B2,,,
endorse,verb,B2,,,
endurance,noun,B2,,,
endure,verb,B1,,,
enduring,adjective,B2,,,
enemy,noun,B1,,,Relations with other people
energetic,adjective,A2,,,
energy,noun,B2,,,
enforce,verb,B2,,,
engage,verb,B1,,,
engaged,adjective,B1,,,
engagement,noun,B2,,,
engine,noun,B1,Work and Jobs,,Travel
engineer,noun,A1,Work and Jobs,,Personal identification
engineering,noun,B1,Education,Work and Jobs,Daily life
Englishman,noun,B1,Nationalities and countries,,Personal identification
engulf,verb,B2,,,
enhance,verb,B2,,,
enjoy,verb,A1,,,
enjoyable,adjective,B1,,,
enjoyment,noun,B1,,,
enormous,adjective,A2,,,
enough,adverb,A2,,,
enough,determiner,A2,,,
enough,pronoun,A2,,,
enrich,verb,B1,,,
enroll/enrol,verb,B2,Education,,
ensure,verb,B1,,,
enter,verb,A2,,,
enterprise,noun,B2,Work and Jobs,,
entertain,verb,B1,,,
entertainer,noun,B1,Work and Jobs,,Personal identification
entertaining,adjective,B2,,,
entertainment,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
enthusiasm,noun,B1,,,
enthusiast,noun,B1,,,
enthusiastic,adjective,B1,,,
enthusiastically,adverb,B2,,,
entire,adjective,B1,,,
entirely,adverb,B1,,,
entitle,verb,B2,,,
entrance,noun,A2,Objects and rooms,,"House and home, environment"
entrepreneur,noun,B2,,,
entry,noun,B1,,,
envelope,noun,A2,,,
environment,noun,B2,,,"House and home, environment"
environmental,adjective,B1,,,
environmentalist,noun,B1,Work and Jobs,,Personal identification
environmentally,adverb,B2,,,
environmentally friendly,adjective,B2,,,
envy,noun,A2,,,Relations with other people
envy,verb,B2,,,
episode,noun,A2,Books and literature,,"Free time, entertainment"
equal,adjective,B1,,,
equal,noun,B2,,,
equal,verb,B2,,,
equality,noun,B1,,,
equally,adverb,B1,,,
equation,noun,B2,,,
equip,verb,B2,,,
equipment,noun,B1,,,
equity,noun,B2,,,
era,noun,B1,Education,,
erect,adjective,B2,,,
error,noun,A2,,,
erupt,verb,B2,,,
eruption,noun,B2,"News, lifestyles and current affairs",,
escalator,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
escape,noun,A2,,,
escape,verb,B1,,,
especially,adverb,A2,,,
essay,noun,A2,Education,Books and literature,Education
essayist,noun,B2,Work and Jobs,,Personal identification
essence,noun,B1,,,
essential,adjective,B1,,,
essentially,adverb,B2,,,
establish,verb,A2,,,
establishment,noun,B1,,,
estate,noun,B2,,,"House and home, environment"
estimate,noun,B2,,,
estimate,verb,B1,,,
estimated,adjective,B2,,,
eternal,adjective,B1,,,
eternally,adverb,B2,,,
eternity,noun,B1,,,
ethic,noun,B2,,,
ethnic,adjective,B2,,,
euro,noun,A2,,,
evacuate,verb,B2,,,
evacuation,noun,B2,,,
evaluate,verb,B2,,,
evaluation,noun,B2,,,
even,adjective,B1,,,
even,adverb,A2,,,
evening,noun,A1,,,
evenly,adverb,B1,,,
event,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
eventually,adverb,B1,,,
ever,adverb,A2,,,
everlasting,adjective,B2,,,
every,determiner,A1,,,
everybody,pronoun,A1,,,
everyday,adjective,A1,,,
everyone,pronoun,A1,,,
everything,pronoun,A1,,,
everywhere,adverb,A1,,,
evidence,noun,A2,,,
evident,adjective,B1,,,
evidently,adverb,B2,,,
evil,adjective,B2,,,
evil,noun,B2,,,
evolution,noun,B2,,,
evolve,verb,B2,,,
exact,adjective,B1,,,
exactly,adverb,A2,,,
exactness,noun,B2,,,
exaggerate,noun,B2,,,
exaggeration,noun,B2,,,
exalt,verb,B2,,,
exam,noun,A2,,,
examination,noun,B1,Education,,Education
examine,verb,B1,,,
examinee,noun,B2,Education,,
examiner,noun,B1,Work and Jobs,,Personal identification
example,noun,A1,,,
exceed,verb,B2,,,
excel,verb,B2,,,
excellence,noun,B1,,,
excellent,adjective,A1,,,
except,conjunction,A2,,,
except,preposition,A2,,,
exception,noun,B2,,,
exceptional,adjective,B2,,,
exceptionally,adverb,B2,,,
excess,noun,B1,,,
excessive,adjective,B2,,,
exchange,noun,A2,,,
exchange,verb,B1,,,
exchange rate,noun,B1,,,
excited,adjective,A1,,,
excitedly,adverb,B1,,,
excitement,noun,B1,,,Personal identification
exciting,adjective,A1,,,
exclaim,verb,B2,,,
exclamation mark,noun,B2,,,Language
exclude,verb,B2,,,
exclusion,noun,B2,,,
exclusive,adjective,B1,,,
exclusively,adverb,B2,,,
excursion,noun,B2,Hobbies and pastimes,,"Free time, entertainment"
excuse,noun,A1,,,
excuse,verb,B1,,,
execute,verb,B2,,,
execution,noun,B2,,,
executive,adjective,B2,,,
executive,noun,B2,Work and Jobs,,Personal identification
exercise,noun,A2,Leisure activities,,"Free time, entertainment"
exercise,verb,A1,,,
exhaust,noun,B2,,,
exhausted,adjective,B1,,,
exhausting,adjective,B2,,,
exhaustion,noun,B2,,,
exhibit,verb,B2,,,
exhibition,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
exile,noun,B2,,,
exist,verb,A2,,,
existence,noun,B1,,,
existing,adjective,B2,,,
exit,noun,B1,Objects and rooms,,"House and home, environment"
exit,verb,B1,,,
exotic,adjective,B2,,,
expand,verb,B1,,,
expansion,noun,B2,,,
expect,verb,A2,,,
expectation,noun,B2,,,
expected,adjective,B2,,,
expedition,noun,B2,Travel and services vocab,,Travel
expense,noun,B1,Shopping,,Shopping
expensive,adjective,A1,,,
experience,noun,A2,,,
experience,verb,B1,,,
experienced,adjective,B1,,,
experiment,noun,B1,,,
experiment,verb,B2,,,
expert,adjective,B2,,,
expert,noun,A2,Work and Jobs,,Personal identification
explain,verb,A2,,,
explanation,noun,A2,,,
explode,verb,B2,,,
exploit,verb,B2,,,
exploration,noun,B1,,,
explore,verb,A2,,,
explorer,noun,B2,Work and Jobs,,Personal identification
explosion,noun,B1,"News, lifestyles and current affairs",,
explosive,adjective,B2,,,
explosive,noun,B2,"News, lifestyles and current affairs",,
export,noun,B2,Work and Jobs,,
export,verb,B2,,,
expose,verb,B1,,,
express,noun,A2,,,
express,verb,B1,,,
expression,noun,A2,,,
expressive,adjective,B2,,,
exquisite,adjective,B2,,,
extend,verb,B1,,,
extension,noun,B2,,,
extensive,adjective,B2,,,
extensively,adverb,B1,,,
extent,noun,B1,,,
external,adjective,B2,,,
extinct,adjective,B1,,,
extinction,noun,B1,,,
extra,adjective,A2,,,
extra,adverb,A2,,,
extra,noun,B1,,,
extract,noun,B2,,,
extract,verb,B2,,,
extraordinarily,adverb,B2,,,
extraordinary,adjective,B1,,,
extreme,adjective,B1,,,
extreme sports,noun,B1,,,
extremely,adverb,A2,,,
exultant,adjective,B2,,,
eye,noun,A1,,,Health and body care
eyebrow,noun,B2,,,Health and body care
eyelash,noun,B2,,,Health and body care
eyelid,noun,B2,,,Health and body care
eyesight,noun,B1,Travel and services vocab,,
fabric,noun,B2,Clothes,,Shopping
fabulous,adjective,B2,,,
face,noun,A1,,,Health and body care
face,verb,A2,,,
face to face,adverb,B1,,,
face-to-face,adjective,B1,,,
facilitate,verb,B2,,,
facilities,noun,B2,,,
facility,noun,B1,,,
fact,noun,A2,,,
factor,noun,B2,,,
factory,noun,A1,"Things in the town, shops and shopping",,"House and home, environment"
faculty,noun,B2,,,
fade,verb,B1,,,
fail,verb,A2,,,
failure,noun,B1,,,
faint,adjective,B1,,,
faint,verb,B2,,,
fair,adjective,A1,,,
fair,noun,B1,,,
fairly,adverb,A2,,,
fairy,noun,A1,Books and literature,,
faith,noun,B2,,,
faithful,adjective,B1,,,
fake,adjective,B1,,,
fall,noun,B1,,,
fall,verb,A2,,,
fallen,adjective,B1,,,
false,adjective,A1,,,
falter,verb,B2,,,
fame,noun,B2,,,
familiar,adjective,A2,,,
familiarize/familiarise,verb,B2,,,
family,noun,A1,Family life,,Personal identification
famous,adjective,A1,,,
fan,noun,A1,Objects and rooms,,Personal identification
fancy,adjective,A2,,,
fancy,noun,B1,,,
fancy,verb,B1,,,
fantastic,adjective,A2,,,
fantastically,adverb,B2,,,
fantasy,noun,B1,Books and literature,,"Free time, entertainment"
far,adjective,B2,,,
far,adverb,A2,,,
faraway,adjective,B1,,,
fare,noun,A2,Travel and services vocab,,Travel
farewell,noun,B1,,,
farm,noun,A1,"Things in the town, shops and shopping",,"House and home, environment"
farmer,noun,A1,Work and Jobs,,Personal identification
farming,noun,B1,,,
farmland,noun,B1,"Things in the town, shops and shopping",,
farther,adverb,B1,,,
farthest,adverb,B1,,,
fascinate,verb,B1,,,
fascinated,adjective,B2,,,
fascinating,adjective,A2,,,
fascination,noun,B2,,,
fashion,noun,A2,Shopping,,Shopping
fashionable,adjective,B1,,,
fast,adjective,A1,,,
fast,adverb,A1,,,
fast food,noun,A2,,,Food and drink
fasten,verb,B1,,,
fat,adjective,A1,,,
fat,noun,B2,,,
fatal,adjective,B2,,,
fate,noun,B2,,,
father,noun,A1,Family life,,Personal identification
father-in-law,noun,B2,,,Personal identification
fault,noun,A2,,,
faulty,adjective,B2,,,
favor/favour,noun,A2,,,
favorable/favourable,adjective,B1,,,
favorite/favourite,adjective,A1,,,
favorite/favourite,noun,A1,,,Personal identification
fax,noun,B1,,,
fax,verb,B1,,,
fear,noun,A2,,,
fear,verb,B2,,,
fearsome,adjective,B2,,,
feast,noun,B1,Food and drink,,
feat,noun,B2,,,
feather,noun,A2,,,
feature,noun,A2,,,
feature,verb,B2,,,
February,noun,A1,,,
fed up,adjective,B2,,,
federal,adjective,B2,,,
fee,noun,A2,Travel and services vocab,,Travel
feed,noun,A1,Food and drink,,Food and drink
feed,verb,B1,,,
feedback,noun,B2,,,
feel,noun,A2,,,
feel,verb,A1,,,
feeling,noun,A1,,,
fellow,adjective,B2,,,
fellow,noun,B1,,,
female,adjective,A2,,,
female,noun,B2,,,Personal identification
fence,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
ferry,noun,B1,Ways of travelling,,Travel
ferryboat,noun,B2,Ways of travelling,,Travel
festival,noun,A1,Leisure activities,,"Free time, entertainment"
festive,adjective,B1,,,
fetch,verb,B1,,,
fever,noun,A1,Travel and services vocab,,Health and body care
feverishly,adverb,B1,,,
few,determiner,A2,,,
few,pronoun,B1,,,
fiber/fibre,noun,B2,,,
fiction,noun,A2,Books and literature,,"Free time, entertainment"
fictional,adjective,B2,,,
